Title,Rating,Price,Processor,RAM,Display Size,Storage Capacity
DELL Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) 3511 Laptop,N/A,"₹45,390",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,38.1 cm (15 inch) Display,1 TB HDD|256 GB SSD
APPLE 2021 Macbook Pro M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1H3HN/A,4.3,"₹3,19,990",Apple M1 Max Processor,32 GB Unified Memory RAM,41.15 cm (16.2 inch) Display,1 TB SSD
ASUS Ryzen 9 Octa Core 9th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050...,N/A,"₹92,990",AMD Ryzen 9 Octa Core Processor (9th Gen),16 GB DDR4 RAM,39.62 cm (15.6 inch) Display,1 TB SSD
ASUS Vivobook Go 15 OLED (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK...,N/A,"₹59,990",AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
Lenovo IdeaPad 3 Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Lap...,4.3,"₹38,990",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) K413EA-EB303TS|K413...,4.3,"₹42,490",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,35.56 cm (14 inch) Display,512 GB SSD
Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light...,4.2,"₹29,990",Intel Celeron Quad Core Processor,8 GB LPDDR4X RAM,35.56 cm (14 inch) Display,256 GB SSD
ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 ...,N/A,"₹1,66,990",AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,39.62 cm (15.6 Inch) Display,1 TB SSD
APPLE 2020 Macbook Pro M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MYD92HN/A,4.5,"₹1,28,490",Apple M1 Processor,8 GB DDR4 RAM,33.78 cm (13.3 inch) Display,512 GB SSD
ASUS Eeebook 14 Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) E410KA-BV101WS Thin and Light La...,4.5,"₹29,610",Intel Pentium Quad Core Processor,8 GB DDR4 RAM,35.81 cm (14.1 inch) Display,256 GB SSD
ASUS Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 10 Home) UM325SA-KG701TS Thin and Light Laptop,3,"₹79,990",AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,33.78 cm (13.3 inch) Display,1 TB SSD
Vaio SE Series Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) NP14V1IN004P Thin and Light Laptop,3.8,"₹58,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,35.56 cm (14 inch) Display,512 GB SSD
Lenovo Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14IGL05 Thin and Light Laptop,3.8,"₹28,490",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,1 Year Onsite Warranty,35.56 cm (14 inch) Touchscreen Display
ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graph...,5,"₹79,990",Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,35.56 cm (14 inch) Touchscreen Display,512 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop,4.4,"₹42,490",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
Infinix INBook X2 Plus Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,4.2,"₹33,990",Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
ASUS TUF Gaming F15 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 10/6 GB Graphics/NVIDIA GeForce RTX 306...,4.4,"₹1,44,990",Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,39.62 cm (15.6 inch) Display,1 TB SSD
ASUS Ryzen 7 Octa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX30...,N/A,"₹99,990",AMD Ryzen 7 Octa Core Processor (10th Gen),16 GB DDR4 RAM,43.94 cm (17.3 inch) Display,512 GB SSD
HP Victus Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,4.3,"₹69,990",AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,38.86 cm (15.3 Inch) Touchscreen Display,512 GB SSD
MSI Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B13M-291IN Thin and Light Laptop,N/A,"₹64,990",Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
